"release_clause_eur_m","international_reputation","power_stamina","defending_sliding_tackle","age","is_internacional.1","years_remaining","years_in_club","category.Delantero","value_eur_m"
10.3,1,79,69,28,0,2,5,0,5.5
2.2,1,67,63,25,0,1,2,0,1
1.1,1,73,60,26,0,0,3,0,0.675
6.6,1,66,70,28,0,0,1,0,3
4.6,1,68,66,23,0,2,2,1,2.2
2.2,1,81,62,24,0,0,6,1,1.4
3.8,1,75,40,27,0,1,1,1,1.9
1,1,49,63,27,0,0,1,0,0.575
0.276,1,74,58,25,0,0,5,1,0.17
1.8,1,74,69,28,0,2,1,0,1.1
0.447,1,64,54,25,0,-1,3,0,0.275
3,1,64,64,26,0,0,1,1,1.3
4.5,1,81,61,21,0,4,1,1,2.8
0.924,1,65,24,18,0,3,1,1,0.425
1.9,1,74,68,29,0,1,1,0,1
0.63,1,50,53,19,0,0,2,1,0.24
3.1,1,69,65,22,0,2,2,1,1.8
1.7,1,75,69,32,0,2,3,0,1.1
1.5,1,86,63,31,0,1,2,0,1
0.891,1,68,60,27,0,0,1,1,0.625
0.634,1,62,50,23,0,0,4,0,0.325
121.5,2,82,43,22,0,3,5,1,61.5
0.748,1,59,60,26,0,0,4,1,0.475
2.7,1,68,58,18,0,1,3,1,1.3
3.2,1,78,59,20,0,3,2,1,1.7
0.831,1,82,57,29,0,1,2,1,0.475
3.4,1,72,58,22,0,2,4,0,1.9
3,1,67,59,29,1,1,6,1,1.6
2.2,1,70,62,22,0,1,2,1,1.4
0.155,1,61,45,20,0,2,1,1,0.1
1.9,1,88,63,28,0,0,1,1,1.3
4,1,67,25,24,0,3,1,1,1.9
0.581,1,79,57,23,0,0,7,1,0.375
7.1,1,70,30,26,0,1,2,1,4.7
1.4,1,63,69,32,0,-1,2,0,0.65
0.855,1,62,58,22,0,2,3,1,0.475
3.8,1,91,64,30,0,2,12,1,2.9
2.1,1,59,16,23,0,2,3,1,1.2
0.594,1,64,32,28,0,4,1,1,0.475
0.426,1,70,60,30,0,0,4,1,0.275
0.867,1,72,56,24,0,1,1,0,0.475
2.5,1,69,57,29,0,2,1,1,1.6
1.5,1,57,24,17,0,1,1,1,0.6
19.2,2,79,75,25,1,4,1,1,13
0.926,1,46,60,29,0,1,2,1,0.65
0.403,1,69,48,22,0,-1,1,0,0.23
4.3,1,51,52,19,0,4,2,1,1.7
4.3,1,54,55,26,0,-1,2,0,1.9
2,1,72,58,20,0,1,2,1,1.2
0.87,1,58,41,21,0,1,4,1,0.4
1.6,1,62,19,27,0,-1,1,1,0.75
1.3,1,64,61,25,0,0,5,0,0.725
1.5,1,62,59,21,0,1,1,1,1
3.2,1,60,34,22,0,1,1,1,1.4
68.3,2,89,75,25,1,2,1,0,38.5
2.8,1,72,45,23,0,0,4,1,1.9
1.1,1,82,48,30,0,1,1,1,0.7
1.5,1,66,60,25,0,0,2,1,0.95
0.471,1,60,61,32,0,0,2,1,0.325
0.831,1,69,35,32,0,0,2,1,0.475
0.975,1,61,29,25,0,3,1,1,0.6
1.1,1,66,31,20,0,0,1,1,0.55
0.419,1,32,22,25,0,-1,1,1,0.275
0.098,1,64,54,20,0,3,1,1,0.06
9.8,1,70,30,25,0,1,9,1,4.5
6.2,1,60,19,19,0,1,2,1,2.2
3.3,1,58,20,20,0,0,4,1,1.3
4.6,1,77,48,23,0,2,1,1,2.7
2.4,1,76,51,25,0,0,3,0,1.6
1.8,1,75,66,30,0,1,1,1,1.3
1.6,1,69,51,19,0,0,2,0,0.85
0.926,1,67,24,19,0,0,3,1,0.475
11.4,2,61,21,32,0,1,1,1,6
0.724,1,79,54,25,0,0,7,0,0.475
7.3,1,75,70,26,0,4,1,1,3.5
16,3,83,80,35,1,1,4,0,8
4.2,1,68,60,20,0,2,2,1,2.1
3.2,1,75,62,25,0,1,2,0,1.9
0.155,1,61,45,23,0,0,2,1,0.1
1.9,1,67,52,22,0,0,6,1,0.9
11.1,2,79,40,31,0,2,8,1,6.5
0.328,1,45,21,24,0,-1,1,1,0.19
1.3,1,69,34,29,0,0,6,1,1
2.6,1,78,66,26,0,0,3,1,1.4
1.3,1,74,15,21,0,2,1,1,0.65
1.1,1,39,21,33,0,0,1,1,0.65
3.6,1,60,11,22,1,4,6,1,1.7
3.5,1,64,76,20,0,1,2,0,2.1
1.7,1,82,67,33,0,0,1,0,1.2
2.5,1,81,66,25,0,1,4,0,1.6
3.2,1,81,62,23,0,1,4,1,1.8
1.4,1,64,64,23,0,2,2,1,0.675
1.4,1,43,61,19,0,3,2,1,0.525
1.9,1,54,19,20,0,4,4,1,0.8
0.642,1,52,18,17,0,1,1,1,0.325
9.1,1,74,14,24,1,3,1,1,3.8
0.557,1,70,55,19,0,4,1,1,0.275
2,1,80,34,32,0,-1,2,1,1.5
2.3,1,69,42,20,0,0,2,1,1.3
3.1,1,71,69,25,0,0,4,1,1.7
1.4,1,60,43,20,0,0,2,1,0.875
4.9,1,74,24,22,1,1,3,0,2.7
0.863,1,64,62,33,0,0,1,1,0.575
4.1,1,86,67,29,0,1,1,0,2.1
0.261,1,58,30,20,0,0,5,1,0.18
1.1,1,48,63,20,0,1,3,0,0.6
0.844,1,52,55,17,0,1,2,1,0.375
1.7,1,71,59,21,0,2,1,1,1.2
0.488,1,72,49,23,0,0,1,0,0.3
1.1,1,66,18,27,0,0,1,1,0.775
0.906,1,72,61,28,0,0,1,1,0.625
4.5,1,39,45,27,0,2,1,1,2.5
2.3,1,78,64,26,0,1,5,1,1.4
1.8,1,61,29,23,0,1,1,1,1.1
1.1,1,56,57,19,0,1,2,1,0.55
0.639,1,62,56,26,0,0,1,0,0.35
3.8,1,74,22,30,0,1,1,1,2.3
37.4,1,82,20,23,1,1,4,1,17
1.3,1,72,63,29,0,-1,1,1,0.6
1.6,1,74,72,31,0,2,2,0,1.3
15.9,1,85,76,29,0,0,5,1,7
61.1,3,70,72,32,0,0,4,1,33
12.3,3,83,66,33,1,0,2,0,8.5
0.372,1,62,21,20,0,2,1,1,0.24
0.475,1,55,31,18,0,0,1,1,0.2
1.2,2,49,72,33,0,0,1,0,0.9
0.915,1,65,60,25,0,0,2,1,0.6
0.893,1,66,52,22,0,-1,1,1,0.525
2,1,69,52,28,1,0,2,1,1.4
4.3,1,78,71,29,0,0,2,0,2.7
0.357,1,49,50,21,0,0,3,1,0.23
4.4,1,76,60,23,0,0,7,1,2.1
0.831,1,79,62,30,0,1,1,0,0.475
1.8,1,76,69,31,0,1,1,1,1
0.254,1,56,42,19,0,0,2,1,0.13
2.5,1,66,55,23,0,-1,5,1,1.6
5.2,1,69,76,31,0,2,1,0,2.9
1.9,1,68,57,22,0,1,1,1,0.975
6.4,1,61,15,22,1,2,1,1,2.9
2.3,1,69,61,17,0,2,2,0,0.875
0.638,1,58,60,22,0,-1,2,1,0.3
1.4,1,59,54,22,0,1,1,1,0.9
0.281,1,59,37,27,0,0,8,1,0.17
7.6,1,75,73,27,0,0,3,0,4.8
2.5,1,80,66,26,0,1,3,0,1.8
1.1,1,70,59,21,0,2,1,1,0.6
0.569,1,69,67,35,0,3,2,0,0.325
0.947,1,46,32,19,0,0,3,1,0.375
10.5,1,81,78,35,0,2,1,0,5.5
1.2,1,54,17,20,0,1,2,1,0.725
1.8,1,67,20,21,0,1,1,1,0.9
0.765,1,61,17,22,0,0,2,1,0.45
7.6,1,85,70,27,0,-1,3,0,4.8
4.5,1,80,65,22,0,0,6,1,2.4
2.6,1,65,25,22,0,1,1,1,1.6
5.5,1,69,73,31,0,2,1,0,2.9
4.3,1,66,70,21,0,0,1,1,2.5
1.7,1,57,70,20,0,0,2,1,0.75
0.508,1,64,62,34,0,2,2,1,0.35
5.2,1,76,16,23,0,1,1,1,3.5
0.403,1,67,50,21,0,1,1,1,0.23
0.264,1,60,55,32,0,3,4,1,0.16
2.3,1,64,62,24,0,0,3,1,1.5
1.9,1,81,29,27,0,-1,1,1,1.2
30.2,2,82,74,25,0,2,2,1,17
0.39,1,62,23,18,0,0,3,1,0.2
0.601,1,70,51,23,0,1,2,1,0.325
2.6,1,57,31,18,0,0,1,1,1
0.202,1,43,16,22,0,0,3,1,0.13
20.9,2,85,60,32,0,1,7,0,11
3.8,1,72,65,21,0,1,4,1,2.1
2.3,1,77,62,23,0,0,4,1,1.5
10.3,1,69,18,22,0,2,3,1,4.9
3.1,1,70,56,22,0,2,6,1,1.9
1.3,1,59,62,20,0,1,2,1,0.55
1.9,1,85,67,28,0,0,4,0,0.825
5.8,1,77,72,21,0,4,1,0,3.4
21.7,1,79,72,27,1,3,1,1,11
3.8,1,62,30,24,0,0,3,1,1.8
0.098,1,58,55,24,0,-1,3,1,0.06
2.2,1,62,23,19,0,4,1,1,1.1
7.1,1,74,53,22,0,2,1,1,4.2
2.3,1,74,21,23,0,-1,2,1,1.4
3.4,1,77,22,32,0,1,1,1,1.9
1.9,1,61,26,22,0,1,1,1,0.975
1.9,1,90,60,32,0,1,1,1,1.1
4.5,1,57,24,23,0,0,7,1,2.3
81.8,3,69,83,27,0,4,1,0,42.5
1.1,1,63,22,22,0,2,4,1,0.6
5.3,1,53,27,24,0,1,2,1,2.8
7.7,1,78,72,35,0,2,1,0,4.3
3.2,1,53,23,27,0,2,1,1,1.6
1.1,1,62,53,33,0,0,1,0,0.875
1.3,1,49,20,25,0,4,2,1,0.7
10.5,1,67,64,22,1,2,2,1,5
44,3,68,83,32,0,2,1,0,27.5
25.2,2,79,78,34,0,0,3,0,12
0.867,1,75,56,24,0,-1,3,1,0.475
0.63,1,55,56,22,0,0,7,1,0.3
1.5,1,46,58,18,0,2,2,1,0.6
1.4,1,70,59,24,0,1,4,1,0.675
0.341,1,64,55,27,0,1,9,0,0.22
0.877,1,74,66,28,0,1,5,1,0.575
0.943,1,62,51,24,0,0,8,0,0.65
6.9,1,76,28,26,0,3,1,1,5
53.3,2,83,82,24,1,1,4,0,30
6.8,1,54,24,18,0,3,1,0,2.6
0.534,1,70,15,26,0,1,1,0,0.375
0.725,1,68,36,34,0,0,3,1,0.5
0.855,1,56,61,21,0,4,1,1,0.475
0.99,1,66,68,34,0,-1,9,1,0.45
6.6,1,74,69,25,0,2,1,1,3.5
2.6,2,66,54,32,0,0,14,1,1.5
0.157,1,56,50,25,0,0,4,0,0.11
2.7,1,65,60,25,0,3,2,0,1.2
1.4,1,50,17,31,0,2,1,1,0.725
0.471,1,58,47,23,0,-1,1,1,0.325
1.3,1,53,64,29,0,2,1,1,0.95
1.7,2,66,66,29,0,0,1,0,1.2
5.2,1,62,33,24,0,2,1,1,2.4
0.744,1,64,58,29,0,0,1,0,0.425
21.8,1,64,34,25,0,3,1,0,10
1.2,1,68,57,22,0,0,3,1,0.75
1.3,1,69,53,23,0,-1,6,1,0.85
1.2,1,69,62,24,0,1,1,1,0.65
0.274,1,64,49,26,0,0,2,1,0.15
0.378,1,44,29,21,0,1,2,1,0.21
1.7,1,80,55,27,0,2,1,1,0.975
0.867,1,60,39,23,0,1,1,1,0.475
1.9,1,81,59,29,0,3,4,1,1.2
0.919,1,66,40,26,0,0,2,0,0.525
0.297,1,72,62,29,0,0,2,1,0.22
0.605,2,44,68,36,0,0,1,1,0.275
0.814,1,62,61,18,0,4,1,1,0.35
5.1,1,69,33,24,0,0,5,1,3
2.8,1,61,63,20,0,1,4,1,1.1
2.7,1,70,37,30,0,0,7,1,1.8
1.8,1,63,56,20,0,2,1,1,0.8
1.6,1,51,62,23,0,3,2,1,0.725
1.7,1,80,37,25,0,1,3,1,1.1
1.6,1,54,45,18,0,0,3,1,0.575
5.5,1,87,43,23,0,3,1,1,2.3
3,1,72,64,22,0,0,2,1,1.8
2.5,1,68,60,22,0,1,1,0,1.5
1.6,1,60,57,18,0,2,2,1,0.925
0.638,1,65,71,36,0,-1,2,1,0.425
1.4,1,65,58,23,0,2,1,0,0.625
0.969,1,74,66,28,0,2,4,0,0.775
33.6,2,70,30,25,0,3,1,1,17
0.534,1,70,28,23,0,2,1,1,0.375
1.7,1,71,50,26,0,-1,1,0,1.3
3.2,1,72,15,25,0,2,1,1,2.1
0.473,1,48,39,35,0,0,2,1,0.35
0.813,1,70,54,34,0,1,1,0,0.65
1.7,1,84,64,31,0,0,7,0,0.975
4.6,1,67,68,22,0,0,1,0,2.6
46.6,3,94,70,30,0,3,1,0,24.5
2.8,1,65,61,20,0,-1,4,1,1.2
90.9,3,77,38,24,1,4,1,0,46
0.372,1,58,30,37,0,0,4,1,0.24
9.3,1,71,35,25,0,3,2,1,4.5
4.2,1,68,38,28,0,0,4,1,1.9
0.653,1,50,17,23,0,0,3,1,0.45
1.6,1,59,59,23,0,3,1,1,0.9
4.3,1,79,70,26,0,2,1,0,1.9
7.7,1,64,32,22,0,1,1,1,3.4
2.5,1,85,30,31,0,0,2,1,1.6
1.5,1,54,15,23,0,2,3,1,0.925
1.7,1,62,67,31,0,0,1,1,0.95
8,1,74,67,21,0,2,4,0,5
59,3,85,65,30,0,2,3,0,29.5
1.6,1,75,64,25,0,0,3,1,0.85
0.225,1,52,60,30,0,0,1,1,0.18
0.34,1,63,57,21,0,4,1,1,0.2
0.392,1,60,49,17,0,-1,1,1,0.18
0.354,1,56,60,19,0,0,2,1,0.14
0.239,1,45,37,17,0,-1,2,1,0.11
1.2,1,64,61,19,0,1,2,1,0.55
4.1,1,75,53,21,0,1,4,0,2.7
1.8,1,71,63,31,0,3,6,0,0.875
7.6,1,74,74,25,0,2,1,1,3.3
1.5,1,34,37,24,0,0,2,0,0.925
3.4,1,86,65,29,0,1,3,1,1.8
3.3,1,70,65,27,0,1,2,0,1.5
1.5,1,67,33,36,0,-1,2,1,1
40.9,1,79,35,23,0,2,3,1,21.5
3.2,1,63,19,20,0,3,1,1,1.9
0.9,1,54,15,22,0,3,1,1,0.5
3,1,61,69,29,0,0,1,0,1.6
16.2,1,87,44,32,0,2,5,1,8.5
5,1,66,65,20,0,1,1,1,2.1
17.9,1,89,73,23,0,3,1,1,8.5
0.544,1,70,50,30,0,1,2,1,0.375
8.6,1,68,68,29,0,2,2,1,4.1
7.9,1,81,30,26,0,1,2,0,5
0.609,1,58,60,18,0,0,2,1,0.21
0.428,1,54,54,28,0,0,1,1,0.3
3.5,1,77,66,25,0,3,1,1,2.4
0.63,1,51,24,33,0,0,3,1,0.45
1.4,1,77,42,33,0,0,1,1,1
0.204,1,49,25,20,0,0,3,1,0.11
1.1,1,88,60,28,0,-1,1,0,0.725
0.228,2,36,67,38,0,0,1,0,0.13
0.311,1,78,61,32,0,0,3,0,0.23
4.1,1,82,70,24,0,2,2,0,2.6
21.3,2,81,78,31,0,1,3,0,12.5
1.4,1,78,62,31,1,0,3,1,0.75
1.3,1,78,65,32,0,-1,1,0,0.9
18.6,2,69,58,25,0,4,1,1,10.5
0.523,1,54,33,19,0,0,2,1,0.22
0.163,2,35,20,32,0,-1,3,1,0.13
0.454,1,37,42,23,0,3,3,1,0.275
1.6,1,55,20,35,1,2,3,0,1.2
1.2,1,55,65,19,0,2,2,1,0.525
0.495,1,57,59,23,0,0,1,1,0.3
1.3,1,70,70,30,0,0,1,1,0.875
2.6,1,69,69,25,0,1,2,0,1.4
2.2,1,81,68,30,0,0,5,1,1.4
3.4,1,58,52,20,0,2,3,1,1.2
5.8,1,69,45,23,0,3,1,0,2.8
0.41,1,50,47,19,0,1,2,1,0.18
3.9,1,49,59,17,0,1,1,1,1.5
2.1,1,68,71,31,0,0,2,1,1.3
74.3,3,70,35,27,1,1,4,0,45
5.4,1,68,33,24,0,0,2,1,3.2
4.7,1,76,38,28,0,0,4,0,3.1
0.447,1,77,52,25,0,0,1,1,0.275
0.831,1,78,60,27,0,0,1,0,0.475
52.7,3,84,80,29,1,2,4,0,31
4.3,1,80,61,22,0,0,1,0,2.6
0.363,1,67,56,28,0,0,4,0,0.22
2.1,1,77,67,29,0,2,1,0,1.3
0.963,1,76,59,30,0,0,3,0,0.55
1.3,1,91,64,29,0,2,4,0,1
13.1,1,77,72,26,0,2,1,1,7
0.415,1,65,55,17,0,4,1,1,0.2
0.906,1,74,67,31,0,-1,4,1,0.625
1.4,1,73,66,34,0,0,6,0,0.875
4.7,1,74,71,29,0,2,1,0,2.2
0.48,1,55,54,17,0,0,1,1,0.19
0.753,1,78,65,33,0,-1,1,1,0.35
1.1,1,54,42,18,0,-1,2,0,0.45
2,1,88,41,26,0,-1,1,0,1.3
4.6,1,61,17,22,0,2,2,1,2.3
50.2,2,71,30,30,0,3,5,0,29.5
3.2,2,64,30,33,0,0,2,0,1.9
4.9,1,75,70,24,0,1,2,1,3.3
5.9,1,68,23,20,0,4,1,1,2.7
1.9,1,60,22,23,0,2,1,1,1.3
0.569,1,70,61,31,0,1,3,0,0.325
0.202,1,72,56,33,0,-1,4,0,0.13
1.1,1,74,65,33,0,-1,2,0,0.5
1.2,2,64,70,35,0,0,3,0,0.8
4,1,65,69,25,0,0,3,1,2
1.2,2,72,65,32,0,0,1,0,0.925
3.5,1,74,65,22,0,0,7,1,1.8
4.4,1,65,34,19,0,1,3,1,1.9
0.497,1,80,57,27,0,0,2,1,0.375
2.2,1,76,52,30,0,0,3,1,1.3
4.6,1,70,41,29,0,0,1,0,2.3
0.081,1,54,58,37,0,0,2,0,0.06
0.07,1,42,58,36,0,-1,9,1,0.045
0.85,1,41,44,20,0,1,2,1,0.5
83.7,2,81,78,21,1,2,3,1,43.5
3.5,1,70,24,28,0,3,1,1,1.6
0.813,1,84,63,30,0,-1,5,1,0.625
6.4,1,87,64,23,0,3,2,0,2.8
2.6,1,80,49,27,0,2,1,1,1.5
1.7,1,80,68,29,0,-1,2,0,1.2
2.5,1,71,63,23,0,-1,6,0,1.6
0.736,1,54,23,19,0,-1,1,0,0.475
3.2,1,83,69,35,0,2,1,0,1.7
5.8,1,79,50,26,0,0,5,0,3.1
14,1,68,35,23,0,2,1,1,7
0.155,1,46,41,22,0,1,3,1,0.1
3.8,2,71,75,34,0,1,2,0,1.8
0.581,1,72,65,35,0,0,1,1,0.375
7.7,2,71,31,31,0,1,3,1,3.5
0.356,1,59,46,17,0,2,1,1,0.19
0.638,2,64,70,35,0,0,5,1,0.425
10.2,1,85,68,22,0,2,6,0,6
76,3,86,65,24,1,4,1,0,39.5
8.4,1,68,48,20,0,4,1,1,3.8
0.724,1,70,54,25,0,0,4,1,0.475
3.3,1,76,47,23,0,2,1,0,2.3
2.6,1,70,55,30,0,0,3,0,1.2
3.7,1,79,67,25,0,3,1,1,2.5
28.9,2,83,38,30,0,2,1,1,17
0.162,1,74,47,29,0,3,1,1,0.12
3,1,58,56,19,0,3,1,1,1.2
1.5,1,71,66,31,0,-1,2,0,0.7
1.6,1,62,67,28,0,0,1,0,1
1.1,1,63,28,25,0,1,3,1,0.6
1.5,1,37,18,24,0,0,4,1,1
1.1,1,80,66,25,0,2,2,0,0.85
44.1,2,72,22,29,0,3,2,1,21
0.613,1,78,53,26,0,1,1,1,0.35
1.3,1,56,21,24,0,1,4,1,0.775
1.1,1,73,61,21,0,1,2,1,0.55
2.4,1,90,63,31,0,0,2,0,1.6
1.2,1,58,18,24,0,3,1,1,0.8
3.2,1,62,73,26,0,1,2,0,1.7
50.4,2,75,90,25,0,0,5,0,25.5
28.8,1,79,13,28,0,2,1,1,18
7.7,1,64,29,28,0,2,2,1,4.3
5.8,1,47,69,23,0,0,7,1,2.5
18.1,1,81,29,22,0,1,1,1,9.5
1.3,1,76,25,27,0,2,1,1,1
0.438,1,68,52,26,0,0,2,1,0.24
3,1,59,66,23,0,1,2,1,1.8
1.2,1,50,68,33,0,0,1,0,0.75
2.8,1,79,68,26,0,1,1,1,2.1
5.3,1,80,57,23,0,-1,8,1,3.1
2,1,70,62,24,0,0,2,1,1.2
0.884,1,48,30,17,0,1,1,1,0.35
0.51,1,57,56,20,0,0,3,1,0.3
1.2,1,58,52,26,0,-1,1,0,0.9
0.653,1,56,10,19,0,1,1,1,0.275
1.9,1,62,19,23,0,-1,2,1,1.1
2.5,1,87,71,30,0,1,3,0,1.4
0.155,1,72,63,31,0,-1,2,1,0.1
23.4,1,77,28,26,0,1,3,1,12.5
0.653,1,71,57,33,0,0,1,1,0.45
4.9,1,68,20,26,0,0,2,1,2.9
1.2,1,60,35,25,0,-1,3,1,0.8
0.87,1,78,55,31,0,1,2,1,0.6
76.1,2,76,85,28,1,0,4,0,35
46.1,1,83,80,29,0,1,2,1,22.5
5,1,66,30,24,0,1,1,1,2.8
1.9,1,67,63,19,0,1,2,0,0.8
11,1,94,71,25,0,0,5,0,7
1.2,1,65,58,30,0,1,2,0,0.6
39.5,1,83,81,23,0,2,2,1,20
5.4,1,82,33,26,0,0,1,0,3.3
0.102,1,50,30,20,0,4,1,1,0.07
6,2,49,37,29,0,0,2,1,3
0.21,1,69,56,33,0,1,3,0,0.12
0.875,1,83,61,28,0,0,6,0,0.5
0.495,1,54,54,20,0,1,2,1,0.3
6.8,1,62,70,23,0,3,1,0,3.4
0.863,1,38,63,33,0,-1,2,0,0.575
2,1,64,30,19,0,2,1,1,0.95
2.9,1,63,63,26,0,-1,1,0,1.3
0.875,1,77,61,29,0,0,2,0,0.5
1.9,1,66,15,21,0,2,1,1,1.3
2.6,1,70,66,26,0,0,8,0,1.6
0.788,1,53,50,17,0,1,1,1,0.35
2.4,1,59,60,21,0,1,3,1,0.925
0.641,1,65,65,22,0,-1,2,1,0.45
0.778,1,63,18,18,0,1,1,1,0.375
1.2,1,82,57,30,0,1,6,1,0.825
0.171,1,71,51,26,0,0,2,0,0.12
3.1,1,85,73,31,0,2,1,1,1.7
1.8,1,71,62,23,0,0,2,1,1.2
3.5,1,66,68,26,0,0,1,1,1.7
2.4,1,78,63,26,0,1,1,1,1.7
0.761,1,60,21,27,0,-1,1,1,0.525
1.6,1,69,16,27,0,0,4,1,1
2.2,1,80,56,23,0,4,2,0,1.5
2.3,1,77,65,27,0,1,11,1,1.3
0.806,1,63,65,32,0,-1,4,1,0.375
2.4,1,61,67,24,0,1,2,0,1.1
6.3,1,63,36,25,0,2,1,1,4
4.5,1,93,32,27,0,0,3,0,2.7
24.9,3,72,36,25,0,2,2,1,14
1.6,1,69,57,21,0,0,3,1,1
1.1,1,73,62,28,0,1,1,0,0.75
1.3,1,64,48,26,0,0,2,1,0.925
0.536,1,59,14,18,0,1,2,1,0.275
5.6,1,82,72,28,0,3,4,0,3.7
30.2,1,78,28,26,0,2,1,1,17
2.1,1,53,18,29,0,1,3,1,1.4
4.2,1,75,24,27,0,0,2,1,2
4,1,62,30,19,0,3,4,1,1.9
1.6,1,45,49,20,0,2,2,1,0.875
0.638,1,47,19,23,0,-1,2,1,0.375
1.4,1,74,71,32,0,0,1,0,0.975
0.14,1,61,56,38,0,0,5,0,0.09
1.1,1,63,54,28,0,2,1,1,0.6
0.319,1,65,65,35,0,0,1,1,0.22
1,1,62,58,25,0,-1,5,1,0.675
1.6,1,39,35,21,0,1,2,1,0.9
0.344,1,61,63,39,0,4,4,0,0.16
7.2,1,73,74,29,0,2,1,0,3.6
3.9,1,90,63,24,0,1,4,1,2.1
0.218,1,58,44,19,0,0,2,1,0.1
6.5,1,34,62,18,0,3,2,0,2.4
17.9,1,70,37,23,0,3,8,1,8.5
0.569,1,48,35,24,0,4,1,1,0.35
2.5,1,85,65,27,0,1,1,0,1.2
0.875,1,51,32,22,0,3,1,1,0.5
4,1,84,64,20,0,0,5,1,1.7
0.725,1,55,52,21,0,-1,3,1,0.5
0.784,1,81,40,26,0,1,1,0,0.55
0.338,1,68,62,34,0,-1,2,0,0.25
0.689,1,79,27,29,0,1,1,1,0.475
0.53,1,75,57,27,0,0,2,1,0.4
4.7,1,73,66,25,0,2,1,1,2.4
1.1,1,75,68,25,0,4,1,1,0.775
1.8,1,71,56,31,0,-1,3,1,0.825
1.1,1,61,64,29,0,0,2,1,0.55
0.458,1,42,16,23,0,0,1,1,0.3
6.6,1,67,66,25,0,1,2,1,2.9
6,1,56,16,19,0,4,2,1,2.6
4.8,1,59,24,28,0,2,1,1,2.4
1.4,1,76,62,25,0,0,2,1,0.95
32,2,87,73,25,0,3,2,0,18
2.3,1,69,46,31,0,2,1,1,1.2
0.406,1,59,55,25,0,-1,1,0,0.25
0.689,1,67,26,31,0,0,4,1,0.475
0.581,1,49,14,18,0,0,2,1,0.375
2,1,72,35,23,0,1,8,1,1.3
0.68,1,62,60,25,0,4,2,1,0.4
3.3,1,81,60,23,0,3,1,0,2.3
5.3,1,75,11,22,0,2,1,1,3.3
1.5,1,66,54,23,0,1,1,1,0.875
7.7,1,69,58,23,0,2,8,1,3.5
0.563,1,60,44,18,0,2,1,1,0.3
6.1,1,74,32,26,0,2,1,1,3.1
1.1,1,58,22,25,0,0,1,1,0.65
2.1,1,91,19,29,0,3,1,1,1.6
0.186,1,63,51,24,0,0,1,1,0.12
1.7,1,71,64,24,0,0,3,0,1.1
1.2,1,57,13,19,0,2,4,1,0.575
1.4,1,73,65,32,0,0,8,0,0.95
0.653,1,58,31,18,0,1,1,1,0.3
4.8,1,87,64,25,0,2,1,0,2.2
8.5,1,76,31,23,0,3,1,0,5
0.831,1,80,53,28,0,0,2,1,0.475
3.4,1,63,29,22,0,0,7,1,1.4
0.228,1,58,46,22,0,0,2,1,0.13
5.1,1,68,16,24,0,2,1,1,2.7
15.4,1,80,73,30,1,1,14,0,7
0.814,1,73,61,31,0,1,1,1,0.525
0.211,1,56,52,22,0,-1,3,0,0.13
3.3,1,81,32,22,0,3,1,1,2.3
2.6,1,64,32,20,0,1,4,1,1.1
22.8,1,75,76,25,0,3,1,0,10.5
8.8,1,62,10,23,1,2,2,1,4.2
0.619,1,62,60,27,0,0,1,0,0.375
1.2,1,50,28,21,0,3,1,1,0.55
0.761,1,64,24,35,0,0,13,1,0.525
1.4,1,51,34,20,0,-1,3,1,0.6
1.5,1,78,59,22,0,1,1,1,0.8
4.4,1,78,65,31,0,0,4,0,2.9
9.1,1,85,69,25,1,1,2,1,4
0.435,1,67,51,22,0,0,2,1,0.3
2.3,1,81,59,23,0,0,2,0,1.5
0.906,1,73,62,28,0,1,2,0,0.725
1.8,1,66,66,25,0,0,2,1,1
0.232,1,76,63,34,0,0,5,1,0.16
0.623,1,42,24,17,0,1,1,1,0.3
7.3,1,90,71,27,0,2,1,0,3.2
3.4,1,57,67,22,0,3,1,1,1.6
0.41,1,48,24,20,0,0,1,1,0.21
3.4,2,79,42,32,0,0,1,1,1.9
3,1,69,58,24,0,2,1,0,1.5
1.3,1,77,32,24,0,0,2,1,0.725
0.458,1,52,60,26,0,0,5,1,0.3
2.6,1,66,28,29,0,0,1,1,1.6
1.6,1,74,45,19,0,0,2,0,0.7
0.743,1,60,59,19,0,2,2,1,0.45
0.518,1,56,45,24,0,1,1,1,0.3
1.8,1,62,65,25,0,1,1,1,1.1
0.25,1,47,30,19,0,2,1,1,0.11
0.403,1,71,54,22,0,0,3,1,0.23
1.7,1,55,27,19,0,0,3,1,0.775
1.7,1,65,24,28,0,0,8,0,1
1.3,1,74,65,32,0,0,2,0,0.9
4.3,1,65,29,24,0,1,2,0,1.9
1.4,1,61,62,35,0,2,1,0,0.75
3.8,1,82,29,23,0,-1,1,1,1.6
6.4,1,80,66,30,0,1,1,1,4
0.723,1,59,60,20,0,2,6,1,0.425
4.4,1,64,67,20,0,3,2,1,1.6
4.8,1,73,71,26,0,3,1,0,3.5
1.7,1,63,22,22,0,2,1,1,0.95
0.761,1,68,22,19,0,2,1,1,0.525
0.906,1,70,63,28,0,1,1,0,0.625
1.6,1,83,59,25,0,1,4,1,0.9
0.736,1,67,66,33,0,0,2,0,0.475
6.8,1,58,24,31,0,2,1,1,3.6
0.99,1,64,11,28,0,2,1,1,0.6
0.75,1,55,38,20,0,0,3,1,0.4
2.9,1,61,54,22,0,2,1,1,1.6
