"release_clause_eur_m","overall","potential","wage_eur_m","movement_reactions","skill_ball_control","age","value_eur_m"
4.5,72,72,1.248,77,74,27,2.5
2.3,68,71,0.624,63,65,26,1.4
1.8,63,71,0.096,58,63,23,1.1
1.1,60,75,0.024,62,49,19,0.55
0.639,61,62,0.096,55,60,26,0.35
3.8,72,72,0.96,72,66,30,2.3
37.4,76,84,0.672,76,77,23,17
1.3,65,65,0.024,57,62,29,0.6
1.6,71,71,0.192,67,58,31,1.3
15.9,76,77,0.912,74,68,29,7
61.1,84,84,7.2,78,91,32,33
12.3,78,78,0.528,77,76,33,8.5
0.372,54,63,0.024,49,53,20,0.24
0.475,52,70,0.0336,40,53,18,0.2
1.2,71,71,0.48,70,63,33,0.9
0.915,63,67,0.096,60,49,25,0.6
0.893,60,68,0.048,62,65,22,0.525
2,69,69,0.336,68,73,28,1.4
4.3,73,73,0.528,72,70,29,2.7
0.357,54,63,0.0408,51,49,21,0.23
4.4,67,75,0.72,65,67,23,2.1
0.831,64,64,0.096,59,46,30,0.475
1.8,69,69,0.144,58,67,31,1
0.254,51,59,0.0456,54,49,19,0.13
2.5,65,74,0.0288,58,65,23,1.6
5.2,74,74,1.344,68,71,31,2.9
1.9,63,70,0.096,65,65,22,0.975
6.4,69,76,0.96,69,67,22,2.9
2.3,62,77,0.024,58,40,17,0.875
0.638,55,68,0.048,51,36,22,0.3
1.4,62,71,0.048,52,63,22,0.9
0.281,57,57,0.144,50,55,27,0.17
7.6,74,77,0.624,74,62,27,4.8
2.5,70,72,0.576,62,68,26,1.8
1.1,60,73,0.048,64,60,21,0.6
0.569,68,68,0.096,69,58,35,0.325
0.947,56,72,0.096,54,57,19,0.375
10.5,80,80,1.104,74,68,35,5.5
1.2,61,72,0.096,55,61,20,0.725
1.8,62,71,0.048,57,60,21,0.9
0.765,58,67,0.096,55,57,22,0.45
7.6,74,75,0.672,71,74,27,4.8
4.5,70,75,0.672,65,71,22,2.4
2.6,67,73,0.192,55,67,22,1.6
5.5,74,74,1.104,74,75,31,2.9
4.3,68,78,0.144,62,56,21,2.5
1.7,61,74,0.24,58,58,20,0.75
0.508,67,67,0.24,66,66,34,0.35
5.2,72,77,0.576,71,75,23,3.5
0.403,56,62,0.048,51,57,21,0.23
0.264,60,60,0.096,53,59,32,0.16
2.3,67,72,0.144,60,72,24,1.5
1.9,67,68,0.288,69,64,27,1.2
30.2,78,81,1.872,75,75,25,17
0.39,53,63,0.0288,48,51,18,0.2
0.601,57,64,0.192,52,62,23,0.325
2.6,61,82,0.0312,43,62,18,1
0.202,51,61,0.024,44,48,22,0.13
20.9,78,78,3.648,80,79,32,11
3.8,67,78,0.288,62,54,21,2.1
2.3,65,74,0.096,62,45,23,1.5
10.3,73,79,1.632,72,73,22,4.9
3.1,66,74,0.144,67,67,22,1.9
1.3,60,75,0.048,58,46,20,0.55
1.9,66,67,0.024,62,67,28,0.825
5.8,70,80,0.192,68,58,21,3.4
21.7,77,78,3.12,77,77,27,11
3.8,68,73,0.144,60,71,24,1.8
0.098,48,53,0.048,47,25,24,0.06
2.2,63,76,0.048,44,66,19,1.1
7.1,71,80,0.528,69,73,22,4.2
2.3,65,72,0.096,50,50,23,1.4
3.4,72,72,1.008,74,74,32,1.9
1.9,63,70,0.048,59,65,22,0.975
1.9,69,69,0.192,69,69,32,1.1
4.5,70,74,0.72,69,69,23,2.3
81.8,84,85,5.04,84,73,27,42.5
1.1,60,72,0.24,53,56,22,0.6
5.3,71,76,0.432,70,73,24,2.8
7.7,78,78,1.248,77,71,35,4.3
3.2,69,70,0.384,65,71,27,1.6
1.1,69,69,0.096,70,73,33,0.875
1.3,64,65,0.096,63,65,25,0.7
10.5,72,80,1.776,75,74,22,5
44,84,84,2.976,84,72,32,27.5
25.2,81,81,2.016,81,80,34,12
0.867,62,64,0.096,61,61,24,0.475
0.63,56,66,0.096,52,52,22,0.3
1.5,60,78,0.144,56,60,18,0.6
1.4,63,68,0.192,60,60,24,0.675
0.341,59,59,0.096,68,50,27,0.22
0.877,64,65,0.096,61,65,28,0.575
0.943,61,68,0.0384,62,65,24,0.65
6.9,74,75,1.056,74,74,26,5
53.3,80,84,2.448,73,81,24,30
6.8,67,84,0.24,55,73,18,2.6
0.534,61,62,0.048,55,64,26,0.375
0.725,67,67,0.192,65,66,34,0.5
0.855,59,68,0.096,56,55,21,0.475
0.99,69,69,0.024,62,66,34,0.45
6.6,73,75,0.432,73,69,25,3.5
2.6,71,71,0.816,67,72,32,1.5
0.157,52,57,0.024,52,50,25,0.11
2.7,66,71,0.024,60,60,25,1.2
1.4,66,66,0.336,65,63,31,0.725
0.471,58,64,0.0408,51,65,23,0.325
1.3,67,68,0.24,65,56,29,0.95
1.7,69,69,0.192,68,72,29,1.2
5.2,70,75,0.24,63,74,24,2.4
0.744,63,63,0.048,60,60,29,0.425
21.8,76,79,1.056,76,83,25,10
1.2,62,69,0.096,65,63,22,0.75
1.3,62,71,0.0288,57,58,23,0.85
1.2,63,68,0.144,59,54,24,0.65
0.274,56,57,0.144,43,51,26,0.15
0.378,53,63,0.192,43,52,21,0.21
1.7,67,67,0.24,65,65,27,0.975
0.867,61,65,0.048,61,62,23,0.475
1.9,68,68,0.096,68,72,29,1.2
0.919,63,63,0.096,54,63,26,0.525
0.297,60,60,0.0456,56,52,29,0.22
0.605,70,70,0.024,67,52,36,0.275
0.814,57,72,0.048,52,56,18,0.35
5.1,71,77,0.48,60,76,24,3
2.8,63,78,0.288,59,58,20,1.1
2.7,71,71,0.72,67,68,30,1.8
1.8,61,73,0.096,61,61,20,0.8
1.6,64,67,0.024,64,59,23,0.725
1.7,66,69,0.192,60,64,25,1.1
1.6,60,73,0.048,62,61,18,0.575
5.5,67,75,0.024,64,67,23,2.3
3,66,75,0.096,63,56,22,1.8
2.5,65,74,0.096,64,44,22,1.5
1.6,62,74,0.048,60,62,18,0.925
0.638,71,71,0.336,69,67,36,0.425
1.4,61,68,0.096,57,59,23,0.625
0.969,66,66,0.144,60,59,28,0.775
33.6,78,79,1.632,76,81,25,17
0.534,60,65,0.096,50,67,23,0.375
1.7,67,69,0.096,64,70,26,1.3
3.2,69,74,0.384,69,70,25,2.1
0.473,66,66,0.024,62,67,35,0.35
0.813,69,69,0.144,65,74,34,0.65
1.7,69,69,0.192,66,66,31,0.975
4.6,68,79,0.144,67,67,22,2.6
46.6,81,81,2.112,88,81,30,24.5
2.8,64,73,0.024,52,63,20,1.2
90.9,82,87,5.28,83,85,24,46
0.372,65,65,0.144,64,68,37,0.24
9.3,73,78,0.528,69,73,25,4.5
4.2,71,71,0.048,64,71,28,1.9
0.653,58,67,0.0408,50,56,23,0.45
1.6,63,70,0.096,59,40,23,0.9
4.3,70,73,0.0288,69,66,26,1.9
7.7,69,81,0.24,64,71,22,3.4
2.5,71,71,0.48,68,79,31,1.6
1.5,64,70,0.096,69,61,23,0.925
1.7,69,69,0.144,62,58,31,0.95
8,72,82,0.384,66,70,21,5
59,82,82,1.008,81,86,30,29.5
1.6,65,68,0.144,63,58,25,0.85
0.225,59,59,0.048,50,40,30,0.18
0.34,53,62,0.0408,41,31,21,0.2
0.392,52,66,0.024,51,52,17,0.18
0.354,51,68,0.096,49,30,19,0.14
0.239,49,64,0.024,48,55,17,0.11
1.2,60,73,0.096,48,54,19,0.55
4.1,68,77,0.384,69,72,21,2.7
1.8,68,68,0.336,68,66,31,0.875
7.6,72,78,0.288,67,73,25,3.3
1.5,64,70,0.096,67,66,24,0.925
3.4,71,71,0.912,70,70,29,1.8
3.3,70,70,0.0288,66,68,27,1.5
1.5,73,73,0.624,73,72,36,1
40.9,77,84,2.16,73,82,23,21.5
3.2,66,76,0.192,60,61,20,1.9
0.9,60,67,0.0408,54,62,22,0.5
3,71,71,1.2,70,70,29,1.6
16.2,77,77,1.824,80,77,32,8.5
5,67,75,0.024,65,58,20,2.1
17.9,74,82,2.208,66,64,23,8.5
0.544,62,62,0.0312,60,61,30,0.375
8.6,74,74,1.104,71,74,29,4.1
7.9,74,75,0.384,70,76,26,5
0.609,52,72,0.096,48,32,18,0.21
0.428,61,62,0.096,56,42,28,0.3
3.5,71,75,0.528,66,70,25,2.4
0.63,65,65,0.144,61,67,33,0.45
1.4,70,70,0.384,66,69,33,1
0.204,50,62,0.096,38,52,20,0.11
1.1,65,65,0.096,61,65,28,0.725
0.228,65,65,0.096,64,60,38,0.13
0.311,61,61,0.0288,59,49,32,0.23
4.1,71,76,0.432,67,67,24,2.6
21.3,79,79,2.304,73,74,31,12.5
1.4,67,67,0.288,61,64,31,0.75
1.3,69,69,0.192,64,66,32,0.9
18.6,76,80,2.4,75,80,25,10.5
0.523,53,67,0.096,45,55,19,0.22
0.163,57,57,0.096,47,58,32,0.13
0.454,55,63,0.048,45,60,23,0.275
1.6,73,73,0.288,72,73,35,1.2
1.2,58,74,0.0336,58,59,19,0.525
0.495,57,64,0.048,45,58,23,0.3
1.3,67,67,0.24,71,65,30,0.875
2.6,68,71,0.144,65,57,25,1.4
2.2,70,70,0.288,66,63,30,1.4
3.4,63,78,0.024,55,72,20,1.2
5.8,71,76,1.152,64,71,23,2.8
0.41,52,66,0.048,46,49,19,0.18
3.9,64,82,0.0336,53,67,17,1.5
2.1,71,71,0.576,66,56,31,1.3
74.3,84,84,4.32,83,85,27,45
5.4,72,75,0.624,68,72,24,3.2
4.7,73,73,0.672,70,73,28,3.1
0.447,58,61,0.096,53,55,25,0.275
0.831,63,63,0.096,55,58,27,0.475
52.7,83,83,3.024,83,79,29,31
4.3,68,76,0.144,70,68,22,2.6
0.363,60,60,0.144,55,53,28,0.22
2.1,70,70,0.48,68,68,29,1.3
0.963,64,64,0.144,64,66,30,0.55
1.3,67,67,0.096,63,69,29,1
13.1,75,78,1.008,75,77,26,7
0.415,53,67,0.024,47,31,17,0.2
0.906,66,66,0.192,62,63,31,0.625
1.4,71,71,0.768,70,76,34,0.875
4.7,72,73,0.48,72,62,29,2.2
0.48,52,70,0.024,47,28,17,0.19
0.753,65,65,0.024,59,61,33,0.35
1.1,57,77,0.024,50,59,18,0.45
2,68,68,0.384,65,62,26,1.3
4.6,67,77,0.384,68,67,22,2.3
50.2,82,82,1.968,80,83,30,29.5
3.2,73,73,1.296,70,75,33,1.9
4.9,72,77,0.528,71,68,24,3.3
5.9,68,76,0.384,65,68,20,2.7
1.9,64,72,0.048,60,57,23,1.3
0.569,63,63,0.144,59,50,31,0.325
0.202,60,60,0.096,52,52,33,0.13
1.1,67,67,0.024,65,65,33,0.5
1.2,73,73,0.144,65,54,35,0.8
4,70,74,0.432,68,66,25,2
1.2,69,69,0.384,63,70,32,0.925
3.5,68,74,0.24,68,68,22,1.8
4.4,65,81,0.336,66,72,19,1.9
0.497,61,62,0.096,52,63,27,0.375
2.2,69,69,0.816,58,68,30,1.3
4.6,72,72,0.912,65,73,29,2.3
0.081,61,61,0.0432,57,50,37,0.06
0.07,60,60,0.096,52,62,36,0.045
0.85,59,70,0.048,61,67,20,0.5
83.7,82,87,3.024,80,80,21,43.5
3.5,70,70,0.624,67,71,28,1.6
0.813,65,65,0.096,66,59,30,0.625
6.4,71,76,0.0288,74,74,23,2.8
2.6,69,69,0.144,65,75,27,1.5
1.7,69,69,0.288,65,65,29,1.2
2.5,66,73,0.0456,59,62,23,1.6
0.736,59,68,0.024,49,60,19,0.475
3.2,74,74,0.576,67,73,35,1.7
5.8,72,75,0.336,65,76,26,3.1
14,73,81,0.96,68,75,23,7
0.155,48,59,0.024,48,49,22,0.1
3.8,75,75,1.2,77,70,34,1.8
0.581,68,68,0.048,69,65,35,0.375
7.7,74,74,0.048,71,77,31,3.5
0.356,52,68,0.024,50,50,17,0.19
0.638,70,70,0.384,70,66,35,0.425
10.2,73,80,0.672,71,71,22,6
76,82,84,5.28,82,83,24,39.5
8.4,70,82,0.864,62,72,20,3.8
0.724,62,65,0.048,59,59,25,0.475
3.3,67,75,0.24,62,67,23,2.3
2.6,68,68,0.024,58,70,30,1.2
3.7,71,76,0.288,65,48,25,2.5
28.9,79,79,2.112,77,79,30,17
0.162,56,56,0.0312,43,56,29,0.12
3,63,80,0.192,59,65,19,1.2
1.5,67,67,0.024,62,67,31,0.7
1.6,67,69,0.144,64,62,28,1
1.1,63,65,0.144,61,62,25,0.6
1.5,65,68,0.096,54,62,24,1
1.1,64,69,0.096,64,67,25,0.85
44.1,80,80,1.824,82,83,29,21
0.613,61,61,0.096,56,57,26,0.35
1.3,63,69,0.096,56,58,24,0.775
1.1,60,70,0.048,64,64,21,0.55
2.4,72,72,0.48,76,58,31,1.6
1.2,62,69,0.0456,55,65,24,0.8
3.2,69,73,0.24,64,55,26,1.7
50.4,80,83,4.8,79,73,25,25.5
28.8,79,79,2.496,79,77,28,18
7.7,74,74,1.248,75,73,28,4.3
5.8,68,77,0.288,64,70,23,2.5
18.1,74,82,1.68,73,75,22,9.5
1.3,66,67,0.096,65,61,27,1
0.438,59,60,0.096,54,54,26,0.24
3,66,74,0.096,62,58,23,1.8
1.2,70,70,0.096,65,58,33,0.75
2.8,71,73,0.288,65,67,26,2.1
5.3,69,77,0.192,66,67,23,3.1
2,66,72,0.096,65,69,24,1.2
0.884,56,74,0.0408,39,57,17,0.35
0.51,56,67,0.096,43,62,20,0.3
1.2,65,69,0.048,58,62,26,0.9
0.653,54,71,0.048,49,52,19,0.275
1.9,65,71,0.096,67,63,23,1.1
2.5,70,70,0.576,70,59,30,1.4
0.155,56,56,0.096,51,27,31,0.1
23.4,77,78,1.008,72,77,26,12.5
0.653,65,65,0.24,63,65,33,0.45
4.9,72,74,1.056,70,74,26,2.9
1.2,64,68,0.096,54,70,25,0.8
0.87,65,65,0.096,63,65,31,0.6
76.1,83,84,1.776,78,76,28,35
46.1,81,81,2.88,79,77,29,22.5
5,69,76,0.24,67,73,24,2.8
1.9,62,72,0.024,62,35,19,0.8
11,75,77,0.528,80,75,25,7
1.2,65,65,0.192,62,63,30,0.6
39.5,78,83,3.744,72,74,23,20
5.4,73,73,0.864,68,73,26,3.3
0.102,49,55,0.0336,51,56,20,0.07
6,73,73,0.624,70,77,29,3
0.21,60,60,0.096,52,47,33,0.12
0.875,64,64,0.096,62,62,28,0.5
0.495,56,67,0.096,47,60,20,0.3
6.8,72,78,0.672,69,65,23,3.4
0.863,68,68,0.24,66,51,33,0.575
2,62,75,0.048,53,64,19,0.95
2.9,67,72,0.024,65,65,26,1.3
0.875,64,64,0.096,60,58,29,0.5
1.9,64,72,0.096,58,62,21,1.3
2.6,68,71,0.096,70,68,26,1.6
0.788,55,75,0.024,40,63,17,0.35
2.4,62,75,0.096,56,53,21,0.925
0.641,61,65,0.0384,54,55,22,0.45
0.778,56,73,0.0408,50,54,18,0.375
1.2,66,66,0.144,62,65,30,0.825
0.171,54,56,0.024,44,49,26,0.12
3.1,72,72,1.104,64,58,31,1.7
1.8,66,71,0.096,63,63,23,1.2
3.5,69,72,0.336,69,66,26,1.7
2.4,69,71,0.24,70,68,26,1.7
0.761,63,63,0.192,60,60,27,0.525
1.6,66,67,0.24,64,65,27,1
2.2,65,73,0.096,62,61,23,1.5
2.3,68,68,0.48,70,66,27,1.3
0.806,64,64,0.024,59,52,32,0.375
2.4,64,71,0.144,55,52,24,1.1
6.3,73,76,0.672,69,73,25,4
4.5,72,73,0.672,73,76,27,2.7
24.9,77,80,2.448,73,79,25,14
1.6,63,72,0.0312,55,54,21,1
1.1,66,66,0.144,66,64,28,0.75
1.3,65,68,0.144,63,67,26,0.925
0.536,55,65,0.048,52,56,18,0.275
5.6,74,74,0.384,62,75,28,3.7
30.2,78,79,2.736,78,78,26,17
2.1,69,69,0.24,64,68,29,1.4
4.2,71,71,0.336,72,69,27,2
4,65,82,0.096,63,63,19,1.9
1.6,62,73,0.0408,55,64,20,0.875
0.638,57,66,0.048,37,56,23,0.375
1.4,69,69,0.288,62,67,32,0.975
0.14,63,63,0.096,53,48,38,0.09
1.1,64,64,0.096,53,64,28,0.6
0.319,65,65,0.096,65,64,35,0.22
1,63,67,0.144,61,61,25,0.675
1.6,62,72,0.096,58,66,21,0.9
0.344,65,65,0.024,51,63,39,0.16
7.2,74,74,1.776,70,69,29,3.6
3.9,70,74,0.624,64,69,24,2.1
0.218,48,63,0.048,49,31,19,0.1
6.5,67,81,0.048,70,68,18,2.4
17.9,74,81,3.312,67,78,23,8.5
0.569,60,64,0.096,48,63,24,0.35
2.5,68,69,0.384,70,67,27,1.2
0.875,60,67,0.0312,56,63,22,0.5
4,65,78,0.096,67,65,20,1.7
0.725,59,67,0.048,67,63,21,0.5
0.784,63,64,0.048,55,67,26,0.55
0.338,65,65,0.048,56,59,34,0.25
0.689,63,63,0.096,55,59,29,0.475
0.53,62,63,0.0456,61,58,27,0.4
4.7,71,75,1.104,66,68,25,2.4
1.1,64,69,0.024,61,47,25,0.775
1.8,67,67,0.024,71,66,31,0.825
1.1,64,65,0.192,59,57,29,0.55
0.458,58,63,0.144,49,60,23,0.3
6.6,72,75,0.0336,71,74,25,2.9
6,68,77,0.336,67,67,19,2.6
4.8,72,72,0.624,69,75,28,2.4
1.4,65,70,0.096,64,59,25,0.95
32,78,82,2.064,73,77,25,18
2.3,69,69,0.384,69,68,31,1.2
0.406,59,61,0.024,43,37,25,0.25
0.689,64,64,0.096,64,64,31,0.475
0.581,57,69,0.024,52,58,18,0.375
2,66,71,0.192,66,68,23,1.3
0.68,59,66,0.048,55,39,25,0.4
3.3,67,75,0.096,64,68,23,2.3
5.3,70,77,0.096,75,68,22,3.3
1.5,62,71,0.036,52,65,23,0.875
7.7,70,78,0.336,70,74,23,3.5
0.563,55,73,0.024,48,60,18,0.3
6.1,72,75,1.104,70,71,26,3.1
1.1,63,66,0.144,60,59,25,0.65
2.1,70,70,0.384,69,66,29,1.6
0.186,51,60,0.024,42,33,24,0.12
1.7,66,70,0.096,50,54,24,1.1
1.2,59,76,0.048,51,56,19,0.575
1.4,68,68,0.336,70,71,32,0.95
0.653,55,69,0.0384,54,60,18,0.3
4.8,70,75,0.288,67,67,25,2.2
8.5,72,81,0.288,70,73,23,5
0.831,63,63,0.24,62,63,28,0.475
3.4,66,72,0.024,52,70,22,1.4
0.228,51,59,0.096,49,46,22,0.13
5.1,71,75,0.288,67,70,24,2.7
15.4,76,76,0.048,80,73,30,7
0.814,65,65,0.048,62,62,31,0.525
0.211,54,57,0.024,56,44,22,0.13
3.3,67,77,0.144,59,71,22,2.3
2.6,63,74,0.024,57,63,20,1.1
22.8,76,80,1.152,75,77,25,10.5
8.8,71,80,1.008,67,66,23,4.2
0.619,62,62,0.192,60,57,27,0.375
1.2,60,71,0.144,52,62,21,0.55
0.761,68,68,0.144,72,65,35,0.525
1.4,60,72,0.024,46,61,20,0.6
1.5,64,68,0.144,54,60,22,0.8
4.4,74,74,0.384,65,58,31,2.9
9.1,73,76,0.048,68,70,25,4
0.435,56,65,0.0264,48,51,22,0.3
2.3,65,73,0.096,60,65,23,1.5
0.906,65,65,0.048,65,66,28,0.725
1.8,65,71,0.096,60,58,25,1
0.232,63,63,0.048,63,55,34,0.16
0.623,55,70,0.024,52,52,17,0.3
7.3,73,74,0.0408,68,69,27,3.2
3.4,66,73,0.384,62,51,22,1.6
0.41,53,63,0.048,38,56,20,0.21
3.4,72,72,0.864,70,75,32,1.9
3,67,72,0.24,67,67,24,1.5
1.3,63,68,0.144,56,61,24,0.725
0.458,59,64,0.096,42,45,26,0.3
2.6,70,70,0.672,68,62,29,1.6
1.6,61,70,0.024,65,61,19,0.7
0.743,59,70,0.048,55,60,19,0.45
0.518,58,63,0.144,49,64,24,0.3
1.8,66,71,0.048,58,49,25,1.1
0.25,50,64,0.096,42,54,19,0.11
0.403,54,63,0.048,51,41,22,0.23
1.7,61,75,0.096,59,67,19,0.775
1.7,67,67,0.48,58,65,28,1
1.3,69,69,0.432,60,62,32,0.9
4.3,69,72,0.0288,61,74,24,1.9
1.4,71,71,0.624,61,75,35,0.75
3.8,67,73,0.024,60,65,23,1.6
6.4,74,74,0.672,68,74,30,4
0.723,58,67,0.096,46,34,20,0.425
4.4,65,80,0.192,62,65,20,1.6
4.8,73,76,0.576,71,64,26,3.5
1.7,64,70,0.096,65,61,22,0.95
0.761,59,71,0.0384,54,62,19,0.525
0.906,65,65,0.096,55,59,28,0.625
1.6,65,69,0.096,63,64,25,0.9
0.736,67,67,0.048,68,55,33,0.475
6.8,74,74,0.768,77,71,31,3.6
0.99,64,64,0.336,56,63,28,0.6
0.75,57,71,0.048,56,55,20,0.4
2.9,65,74,0.096,56,67,22,1.6
1.5,66,66,0.144,48,68,29,0.85
0.569,56,67,0.0288,55,56,21,0.325
2,64,72,0.0408,60,60,23,1.2
0.261,50,66,0.024,61,48,19,0.12
29.6,78,80,1.872,78,75,27,15
0.516,54,72,0.024,42,56,18,0.275
0.875,59,67,0.144,52,63,21,0.5
0.495,55,64,0.048,61,49,21,0.275
0.731,57,69,0.036,54,57,20,0.375
3.9,67,77,0.144,66,68,21,2.3
0.66,58,65,0.096,41,61,23,0.4
0.578,57,66,0.048,54,49,21,0.35
3.4,72,72,0.72,70,70,31,1.7
3.7,66,76,0.096,59,72,22,1.9
4.4,72,75,0.096,67,70,25,3.1
0.65,67,67,0.336,62,53,34,0.325
0.363,59,59,0.192,48,62,30,0.22
2.3,68,71,0.24,58,69,25,1.6
36.8,78,84,0.864,74,76,22,23
0.656,64,64,0.048,60,64,28,0.525
2.8,66,72,0.096,64,58,22,1.2
1.1,72,72,0.528,68,72,35,0.725
0.984,59,74,0.024,54,60,18,0.525
0.911,62,65,0.144,60,52,26,0.45
0.729,63,66,0.048,58,52,27,0.55
2.7,69,71,0.384,66,73,26,1.7
7.6,74,74,1.008,76,75,27,4
0.242,55,59,0.024,49,40,24,0.17
2,68,68,0.024,64,70,32,0.95
1.5,63,70,0.0432,64,64,22,0.975
2,73,73,0.528,62,76,36,1
2.6,71,71,0.288,68,68,31,1.6
2.5,72,72,0.192,60,77,32,1.8
7.4,71,78,0.816,70,72,23,3.5
1.7,61,74,0.048,55,53,18,0.725
27,78,78,1.296,74,77,30,13.5
46.8,80,81,1.536,77,80,27,21.5
1.5,58,74,0.024,62,50,20,0.525
1.4,68,68,0.096,63,67,28,1.1
0.326,58,58,0.096,49,55,28,0.21
3.8,77,77,0.48,71,68,36,1.9
1.1,60,68,0.048,58,61,23,0.55
8.5,70,86,0.048,62,75,17,4
0.5,68,68,0.144,67,60,34,0.4
1.3,65,65,0.096,62,65,27,0.75
0.58,58,65,0.0336,56,59,23,0.4
1.5,66,67,0.144,63,67,26,1
0.548,60,63,0.048,59,58,24,0.3
3.2,66,72,0.192,65,60,23,1.4
1.3,59,75,0.024,57,57,19,0.575
0.247,52,61,0.024,45,43,21,0.17
6.8,74,74,0.0408,71,70,31,3.1
1.8,69,69,0.192,63,62,29,1.2
2.4,68,68,0.384,70,68,29,1.2
0.54,64,64,0.0384,55,50,31,0.4
0.481,68,68,0.096,67,67,36,0.275
0.544,65,65,0.144,61,64,33,0.375
1.7,71,71,0.288,72,67,32,1.3
0.244,51,64,0.0408,46,33,20,0.13
0.585,56,66,0.0408,51,53,19,0.3
4.4,67,80,0.192,66,68,19,2.3
0.504,56,67,0.024,51,54,21,0.325
8.3,74,75,0.48,74,69,27,4.4
3.9,72,72,0.336,71,73,26,2.6
2.3,69,69,0.48,67,68,27,1.3
5,73,74,0.48,72,75,25,3.2
4.7,72,75,0.432,70,73,26,2.8
0.943,55,75,0.096,51,46,18,0.325
7,69,82,0.192,65,78,19,3.3
1.1,61,72,0.0408,57,56,19,0.65
1.5,69,69,0.24,66,70,33,0.725
39.9,79,83,2.112,78,78,25,22.5
0.54,56,67,0.096,48,29,20,0.3
27.2,77,78,1.392,76,78,26,12.5
1.1,67,67,0.096,61,70,31,0.85
0.839,64,65,0.144,61,48,28,0.55
32.6,80,80,1.728,76,77,31,15.5
18.7,77,77,0.048,74,74,30,8.5
2.2,69,69,0.336,66,70,30,1.4
1.6,66,68,0.144,58,66,26,1.1
1.4,63,68,0.096,56,62,22,0.75
35.7,79,79,1.68,78,81,29,17
23.8,79,79,1.44,76,74,31,12.5
6.5,74,74,1.104,71,72,31,3.1
0.416,51,69,0.024,55,49,19,0.15
1.1,66,67,0.096,62,66,28,0.825
3.9,71,72,0.0336,71,71,29,1.7
1,68,68,0.096,63,63,31,0.825
3.5,68,74,0.096,62,65,23,1.8
3.4,69,72,0.576,66,71,25,1.8
1.2,65,68,0.048,52,67,26,0.925
9,71,80,0.528,68,67,20,3.9
17.8,76,80,2.448,78,67,26,9
2.6,62,75,0.24,43,64,20,0.95
1,64,66,0.096,53,63,26,0.675
0.277,51,64,0.024,39,52,21,0.14
0.523,53,67,0.0288,53,56,18,0.22
0.653,59,66,0.0456,56,59,23,0.45
0.75,64,64,0.144,62,53,32,0.375
4.1,66,74,0.096,62,70,23,1.8
1.6,70,70,0.432,67,62,31,1.2
5.5,73,74,0.672,73,75,27,3.5
1.5,66,66,0.024,54,74,32,0.7
0.45,54,67,0.048,42,46,20,0.24
2.6,65,76,0.144,60,66,21,1.6
1.5,69,69,0.288,65,63,31,1
1.3,58,78,0.024,52,55,16,0.525
1.1,66,66,0.144,70,65,28,0.85
15,74,80,0.384,71,79,23,6.5
1.5,67,67,0.096,59,68,28,1
0.297,60,60,0.192,50,60,31,0.18
1.4,60,73,0.048,60,60,19,0.575
4.1,66,80,0.048,64,59,20,1.9
1.7,61,69,0.048,57,65,21,0.725
2,64,73,0.0408,65,64,23,1.3
0.653,58,66,0.0264,61,57,20,0.45
2.8,64,71,0.024,61,62,23,1.2
2.8,64,71,0.024,59,65,23,1.2
2.8,68,69,0.384,68,71,26,1.4
1.1,60,75,0.0312,57,66,19,0.55
1.4,60,72,0.048,53,63,20,0.6
0.796,56,69,0.096,53,53,21,0.35
2.1,61,76,0.144,51,35,20,0.75
0.798,60,69,0.0288,57,59,20,0.55
1.2,59,72,0.096,51,61,21,0.55
2.6,70,70,1.008,68,68,29,1.6
1.3,59,75,0.0384,58,60,19,0.575
2.5,67,72,0.192,64,69,23,1.5
4.2,66,80,0.144,50,69,19,2
1.2,61,72,0.048,64,60,21,0.7
9.1,76,76,0.864,71,68,28,6.5
0.345,56,61,0.192,51,53,25,0.2
5,72,76,0.576,72,78,25,3.2
1.5,60,77,0.144,54,59,19,0.6
4.6,67,75,0.432,63,62,23,2.2
9.5,76,76,0.768,81,72,31,5
2.9,70,70,0.768,67,71,30,1.6
1.5,61,76,0.144,57,63,19,0.775
0.471,55,67,0.0264,51,52,21,0.325
2.5,64,76,0.096,63,66,21,1.4
0.332,52,62,0.096,49,53,20,0.17
0.452,60,60,0.024,53,48,30,0.21
2.1,61,74,0.024,59,59,17,0.75
1.5,59,78,0.096,51,69,18,0.575
4.1,64,84,0.144,53,66,18,1.5
11.3,74,79,0.912,76,63,24,6
0.733,61,64,0.192,57,65,25,0.425
0.471,56,68,0.0288,67,53,18,0.325
1.9,69,69,0.48,72,61,31,1
2.3,68,69,0.288,63,72,26,1.4
3.7,71,72,0.72,68,68,27,2.2
2.6,64,77,0.048,60,62,19,1.3
3.5,65,74,0.096,56,65,23,1.5
2.5,68,73,0.192,53,63,24,1.7
0.68,62,62,0.336,55,62,28,0.4
1.7,68,68,0.192,62,66,29,1.2
1,59,71,0.192,51,56,22,0.55
0.875,63,63,0.096,57,62,28,0.5
1.3,62,69,0.048,56,69,22,0.8
1.3,58,74,0.24,53,62,20,0.525
0.548,60,63,0.096,55,55,25,0.3
3.2,71,71,0.036,68,71,32,1.5
5.5,72,73,1.536,67,68,26,2.8
1.4,62,71,0.048,57,66,20,0.875
6.2,69,76,0.864,69,71,22,2.8
0.775,67,67,0.24,65,65,34,0.5
